t,x,y,z
5.620000000000000284e+01,3.937988416553615707e+02,2.982391437377796137e+02,1.758275401250776326e+01
5.630000000000000426e+01,3.941383116698520439e+02,2.986062367013445282e+02,1.758106127420536424e+01
5.640000000000000568e+01,3.944777816843424603e+02,2.989733296649094996e+02,1.757936853590296522e+01
5.650000000000000000e+01,3.948172516988329335e+02,2.993404226284744709e+02,1.757767579760056620e+01
5.660000000000000142e+01,3.951567217133233498e+02,2.997075155920393854e+02,1.757598305929816718e+01
5.670000000000000284e+01,3.954961917278137662e+02,3.000746085556043568e+02,1.757429032099576816e+01
5.680000000000000426e+01,3.958356617423042394e+02,3.004417015191692713e+02,1.757259758269336913e+01
5.690000000000000568e+01,3.961751317567946558e+02,3.008087944827342426e+02,1.757090484439097011e+01
5.700000000000000000e+01,3.965146017712851290e+02,3.011758874462992139e+02,1.756921210608857109e+01
5.710000000000000142e+01,3.968540717857755453e+02,3.015429804098641284e+02,1.756751936778616852e+01
5.720000000000000284e+01,3.971935418002660185e+02,3.019100733734290998e+02,1.756582662948376949e+01
5.730000000000000426e+01,3.975330118147564349e+02,3.022771663369940711e+02,1.756413389118137047e+01
5.740000000000000568e+01,3.978724818292469081e+02,3.026442593005589856e+02,1.756244115287897145e+01
5.750000000000000000e+01,3.982119518437373245e+02,3.030113522641239570e+02,1.756074841457657243e+01
5.760000000000000142e+01,3.985514218582277977e+02,3.033784452276889283e+02,1.755905567627417341e+01
5.770000000000000284e+01,3.988908918727182140e+02,3.037455381912538428e+02,1.755736293797177439e+01
5.780000000000000426e+01,3.992303618872086872e+02,3.041126311548188141e+02,1.755567019966937536e+01
5.790000000000000568e+01,3.995698319016991036e+02,3.044797241183837286e+02,1.755397746136697634e+01
5.800000000000000000e+01,3.999093019161895199e+02,3.048468170819487000e+02,1.755228472306457732e+01
5.810000000000000142e+01,4.002487719306799931e+02,3.052139100455136713e+02,1.755059198476217830e+01
5.820000000000000284e+01,4.005882419451704095e+02,3.055810030090785858e+02,1.754889924645977928e+01
5.830000000000000426e+01,4.009277119596608827e+02,3.059480959726435572e+02,1.754720650815738026e+01
5.840000000000000568e+01,4.012671819741512991e+02,3.063151889362085285e+02,1.754551376985498123e+01
5.850000000000000000e+01,4.016066519886417723e+02,3.066822818997734430e+02,1.754382103155258221e+01
5.860000000000000142e+01,4.019461220031321886e+02,3.070493748633384143e+02,1.754212829325018319e+01
5.870000000000000284e+01,4.022855920176226618e+02,3.074164678269033857e+02,1.754043555494778417e+01
5.880000000000000426e+01,4.026250620321130782e+02,3.077835607904683002e+02,1.753874281664538515e+01
5.890000000000000568e+01,4.029645320466035514e+02,3.081506537540332715e+02,1.753705007834298613e+01
5.900000000000000000e+01,4.033040020610939678e+02,3.085177467175982429e+02,1.753535734004058710e+01
5.910000000000000142e+01,4.036434720755844410e+02,3.088848396811631574e+02,1.753366460173818808e+01
5.920000000000000284e+01,4.039829420900748573e+02,3.092519326447281287e+02,1.753197186343578906e+01
5.930000000000000426e+01,4.043224121045652737e+02,3.096190256082930432e+02,1.753027912513339004e+01
5.940000000000000568e+01,4.046618821190557469e+02,3.099861185718580145e+02,1.752858638683099102e+01
5.950000000000000000e+01,4.050013521335461633e+02,3.103532115354229859e+02,1.752689364852859200e+01
5.960000000000000142e+01,4.053408221480366365e+02,3.107203044989879004e+02,1.752520091022619297e+01
5.970000000000000284e+01,4.056802921625270528e+02,3.110873974625528717e+02,1.752350817192379395e+01
5.980000000000000426e+01,4.060197621770175260e+02,3.114544904261178431e+02,1.752181543362139493e+01
5.990000000000000568e+01,4.063592321915079424e+02,3.118215833896827576e+02,1.752012269531899236e+01
6.000000000000000000e+01,4.066987022059984156e+02,3.121886763532477289e+02,1.751842995701659333e+01
6.010000000000000142e+01,4.070381722204888320e+02,3.125557693168126434e+02,1.751673721871419431e+01
6.020000000000000284e+01,4.073776422349793052e+02,3.129228622803776148e+02,1.751504448041179529e+01
6.030000000000000426e+01,4.077171122494697215e+02,3.132899552439425861e+02,1.751335174210939627e+01
6.040000000000000568e+01,4.080565822639601947e+02,3.136570482075075006e+02,1.751165900380699725e+01
6.050000000000000000e+01,4.083960522784506111e+02,3.140241411710724719e+02,1.750996626550459823e+01
